ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,4,2024-01-21,"[20,30)",COMUNA 3,1,,,
2024,4,2024-01-21,"[30,40)",COMUNA 3,2,,,
2024,4,2024-01-21,"[40,50)",COMUNA 3,2,,,
2024,4,2024-01-21,"[60,70)",COMUNA 3,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 4,1,,,
2024,4,2024-01-21,"[10,20)",COMUNA 4,3,,,
2024,4,2024-01-21,"[20,30)",COMUNA 4,0,,,
2024,4,2024-01-21,"[30,40)",COMUNA 4,7,,,
2024,4,2024-01-21,"[40,50)",COMUNA 4,3,,,
2024,4,2024-01-21,"[50,60)",COMUNA 4,0,,,
2024,4,2024-01-21,"[60,70)",COMUNA 4,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 4,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 5,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 5,1,,,
2024,4,2024-01-21,"[20,30)",COMUNA 5,0,,,
2024,4,2024-01-21,"[30,40)",COMUNA 5,2,,,
2024,4,2024-01-21,"[40,50)",COMUNA 5,1,,,
2024,4,2024-01-21,"[50,60)",COMUNA 5,1,,,
2024,4,2024-01-21,"[60,70)",COMUNA 5,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 5,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 6,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 6,1,,,
